Date,Room Number,Bed Number,Total Beds,Available Beds,Busy Bees
2011-06-29,3,Bed Number 3,32,10,22
2011-06-30,1,Bed Number 1,47,17,30
2011-06-30,2,Bed Number 2,26,7,19
2011-06-30,3,Bed Number 3,29,11,18
2011-07-01,1,Bed Number 1,47,16,31
2011-07-01,2,Bed Number 2,66,50,16
2011-07-01,3,Bed Number 3,83,2,81
2011-07-02,1,Bed Number 1,54,54,0
2011-07-02,2,Bed Number 2,82,26,56
2011-07-02,3,Bed Number 3,83,69,14
2011-07-03,1,Bed Number 1,39,2,37
2011-07-03,2,Bed Number 2,99,45,54
2011-07-03,3,Bed Number 3,19,11,8
2011-07-04,1,Bed Number 1,94,68,26
2011-07-04,2,Bed Number 2,38,13,25
2011-07-04,3,Bed Number 3,53,14,39
2011-07-05,1,Bed Number 1,34,12,22
2011-07-05,2,Bed Number 2,42,5,37
2011-07-05,3,Bed Number 3,66,39,27
2011-07-06,1,Bed Number 1,65,64,1
2011-07-06,2,Bed Number 2,10,9,1
2011-07-06,3,Bed Number 3,42,2,40
2011-07-07,1,Bed Number 1,56,19,37
2011-07-07,2,Bed Number 2,42,42,0
2011-07-07,3,Bed Number 3,37,36,1
2011-07-08,1,Bed Number 1,35,0,35
2011-07-08,2,Bed Number 2,80,65,15
2011-07-08,3,Bed Number 3,21,19,2
2011-07-09,1,Bed Number 1,69,54,15
2011-07-09,2,Bed Number 2,90,17,73
2011-07-09,3,Bed Number 3,71,41,30
2011-07-10,1,Bed Number 1,95,67,28
2011-07-10,2,Bed Number 2,88,64,24
2011-07-10,3,Bed Number 3,40,5,35
2011-07-11,1,Bed Number 1,18,0,18
2011-07-11,2,Bed Number 2,24,16,8
2011-07-11,3,Bed Number 3,61,47,14
2011-07-12,1,Bed Number 1,94,2,92
2011-07-12,2,Bed Number 2,60,53,7
2011-07-12,3,Bed Number 3,68,30,38
2011-07-13,1,Bed Number 1,96,42,54
2011-07-13,2,Bed Number 2,49,28,21
2011-07-13,3,Bed Number 3,84,63,21
2011-07-14,1,Bed Number 1,49,42,7
2011-07-14,2,Bed Number 2,53,42,11
2011-07-14,3,Bed Number 3,72,64,8
2011-07-15,1,Bed Number 1,10,2,8
2011-07-15,2,Bed Number 2,79,62,17
2011-07-15,3,Bed Number 3,50,29,21
2011-07-16,1,Bed Number 1,65,45,20
2011-07-16,2,Bed Number 2,44,21,23
2011-07-16,3,Bed Number 3,58,42,16
2011-07-17,1,Bed Number 1,98,85,13
2011-07-17,2,Bed Number 2,53,28,25
2011-07-17,3,Bed Number 3,36,20,16
2011-07-18,1,Bed Number 1,67,44,23
2011-07-18,2,Bed Number 2,54,37,17
2011-07-18,3,Bed Number 3,95,35,60
2011-07-19,1,Bed Number 1,45,11,34
2011-07-19,2,Bed Number 2,15,10,5
2011-07-19,3,Bed Number 3,83,57,26
2011-07-20,1,Bed Number 1,57,40,17
2011-07-20,2,Bed Number 2,78,24,54
2011-07-20,3,Bed Number 3,38,21,17
2011-07-21,1,Bed Number 1,95,1,94
2011-07-21,2,Bed Number 2,12,4,8
2011-07-21,3,Bed Number 3,67,33,34
2011-07-22,1,Bed Number 1,30,24,6
2011-07-22,2,Bed Number 2,40,28,12
2011-07-22,3,Bed Number 3,27,15,12
2011-07-23,1,Bed Number 1,81,75,6
2011-07-23,2,Bed Number 2,57,33,24
2011-07-23,3,Bed Number 3,54,31,23
2011-07-24,1,Bed Number 1,45,31,14
2011-07-24,2,Bed Number 2,52,3,49
2011-07-24,3,Bed Number 3,73,32,41
2011-07-25,1,Bed Number 1,45,15,30
2011-07-25,2,Bed Number 2,57,29,28
2011-07-25,3,Bed Number 3,71,17,54
2011-07-26,1,Bed Number 1,99,98,1
2011-07-26,2,Bed Number 2,57,54,3
2011-07-26,3,Bed Number 3,99,22,77
2011-07-27,1,Bed Number 1,34,11,23
2011-07-27,2,Bed Number 2,63,37,26
2011-07-27,3,Bed Number 3,94,4,90
2011-07-28,1,Bed Number 1,95,15,80
2011-07-28,2,Bed Number 2,73,65,8
2011-07-28,3,Bed Number 3,46,3,43
2011-07-29,1,Bed Number 1,97,88,9
2011-07-29,2,Bed Number 2,89,47,42
2011-07-29,3,Bed Number 3,17,8,9
2011-07-30,1,Bed Number 1,89,27,62
2011-07-30,2,Bed Number 2,12,11,1
2011-07-30,3,Bed Number 3,30,14,16
2011-07-31,1,Bed Number 1,61,22,39
2011-07-31,2,Bed Number 2,15,8,7
2011-07-31,3,Bed Number 3,71,62,9
2011-08-01,1,Bed Number 1,58,10,48
2011-08-01,2,Bed Number 2,18,3,15
2011-08-01,3,Bed Number 3,29,3,26
2011-08-02,1,Bed Number 1,87,7,80
2011-08-02,2,Bed Number 2,23,1,22
2011-08-02,3,Bed Number 3,82,7,75
2011-08-03,1,Bed Number 1,63,26,37
2011-08-03,2,Bed Number 2,24,7,17
2011-08-03,3,Bed Number 3,72,63,9
2011-08-04,1,Bed Number 1,23,16,7
2011-08-04,2,Bed Number 2,100,5,95
2011-08-04,3,Bed Number 3,55,52,3
2011-08-05,1,Bed Number 1,85,52,33
2011-08-05,2,Bed Number 2,46,22,24
2011-08-05,3,Bed Number 3,22,9,13
2011-08-06,1,Bed Number 1,84,21,63
2011-08-06,2,Bed Number 2,76,35,41
2011-08-06,3,Bed Number 3,32,10,22
2011-08-07,1,Bed Number 1,85,48,37
2011-08-07,2,Bed Number 2,97,13,84
2011-08-07,3,Bed Number 3,89,74,15
2011-08-08,1,Bed Number 1,16,13,3
2011-08-08,2,Bed Number 2,78,30,48
2011-08-08,3,Bed Number 3,75,1,74
2011-08-09,1,Bed Number 1,29,17,12
2011-08-09,2,Bed Number 2,44,32,12
2011-08-09,3,Bed Number 3,91,33,58
2011-08-10,1,Bed Number 1,64,24,40
2011-08-10,2,Bed Number 2,37,27,10
2011-08-10,3,Bed Number 3,100,98,2
2011-08-11,1,Bed Number 1,29,6,23
2011-08-11,2,Bed Number 2,70,70,0
2011-08-11,3,Bed Number 3,91,36,55
2011-08-12,1,Bed Number 1,43,23,20
2011-08-12,2,Bed Number 2,18,10,8
2011-08-12,3,Bed Number 3,60,14,46
2011-08-13,1,Bed Number 1,24,13,11
2011-08-13,2,Bed Number 2,73,70,3
2011-08-13,3,Bed Number 3,16,13,3
2011-08-14,1,Bed Number 1,49,36,13
2011-08-14,2,Bed Number 2,50,46,4
2011-08-14,3,Bed Number 3,25,22,3
2011-08-15,1,Bed Number 1,89,17,72
2011-08-15,2,Bed Number 2,96,89,7
2011-08-15,3,Bed Number 3,62,23,39
2011-08-16,1,Bed Number 1,42,19,23
2011-08-16,2,Bed Number 2,73,51,22
2011-08-16,3,Bed Number 3,42,4,38
2011-08-17,1,Bed Number 1,56,53,3
2011-08-17,2,Bed Number 2,95,89,6
2011-08-17,3,Bed Number 3,32,24,8
2011-08-18,1,Bed Number 1,12,2,10
2011-08-18,2,Bed Number 2,10,1,9
2011-08-18,3,Bed Number 3,57,8,49
2011-08-19,1,Bed Number 1,49,28,21
2011-08-19,2,Bed Number 2,75,31,44
2011-08-19,3,Bed Number 3,97,80,17
2011-08-20,1,Bed Number 1,32,8,24
2011-08-20,2,Bed Number 2,86,80,6
2011-08-20,3,Bed Number 3,57,27,30
2011-08-21,1,Bed Number 1,95,34,61
2011-08-21,2,Bed Number 2,44,28,16
2011-08-21,3,Bed Number 3,95,27,68
2011-08-22,1,Bed Number 1,65,19,46
2011-08-22,2,Bed Number 2,70,42,28
2011-08-22,3,Bed Number 3,38,12,26
2011-08-23,1,Bed Number 1,17,8,9
2011-08-23,2,Bed Number 2,50,37,13
2011-08-23,3,Bed Number 3,14,6,8
2011-08-24,1,Bed Number 1,65,5,60
2011-08-24,2,Bed Number 2,93,18,75
2011-08-24,3,Bed Number 3,86,27,59
2011-08-25,1,Bed Number 1,83,45,38
2011-08-25,2,Bed Number 2,86,41,45
2011-08-25,3,Bed Number 3,92,31,61
2011-08-26,1,Bed Number 1,63,28,35
2011-08-26,2,Bed Number 2,52,23,29
2011-08-26,3,Bed Number 3,21,17,4
2011-08-27,1,Bed Number 1,95,64,31
2011-08-27,2,Bed Number 2,75,54,21
2011-08-27,3,Bed Number 3,55,31,24
2011-08-28,1,Bed Number 1,70,58,12
2011-08-28,2,Bed Number 2,33,20,13
2011-08-28,3,Bed Number 3,73,66,7
2011-08-29,1,Bed Number 1,48,8,40
2011-08-29,2,Bed Number 2,43,3,40
2011-08-29,3,Bed Number 3,99,72,27
2011-08-30,1,Bed Number 1,54,7,47
2011-08-30,2,Bed Number 2,45,0,45
2011-08-30,3,Bed Number 3,47,47,0
2011-08-31,1,Bed Number 1,23,23,0
2011-08-31,2,Bed Number 2,31,15,16
2011-08-31,3,Bed Number 3,82,65,17
2011-09-01,1,Bed Number 1,55,55,0
2011-09-01,2,Bed Number 2,22,3,19
2011-09-01,3,Bed Number 3,23,14,9
2011-09-02,1,Bed Number 1,82,13,69
2011-09-02,2,Bed Number 2,92,37,55
2011-09-02,3,Bed Number 3,90,88,2
2011-09-03,1,Bed Number 1,59,28,31
2011-09-03,2,Bed Number 2,34,17,17
2011-09-03,3,Bed Number 3,95,40,55
2011-09-04,1,Bed Number 1,67,5,62
2011-09-04,2,Bed Number 2,77,71,6
2011-09-04,3,Bed Number 3,25,13,12
2011-09-05,1,Bed Number 1,83,64,19
2011-09-05,2,Bed Number 2,41,10,31
2011-09-05,3,Bed Number 3,58,13,45
2011-09-06,1,Bed Number 1,48,26,22
2011-09-06,2,Bed Number 2,97,62,35
2011-09-06,3,Bed Number 3,87,20,67
2011-09-07,1,Bed Number 1,55,51,4
2011-09-07,2,Bed Number 2,86,57,29
2011-09-07,3,Bed Number 3,31,20,11
2011-09-08,1,Bed Number 1,35,29,6
2011-09-08,2,Bed Number 2,61,43,18
2011-09-08,3,Bed Number 3,81,25,56
2011-09-09,1,Bed Number 1,80,46,34
2011-09-09,2,Bed Number 2,88,27,61
2011-09-09,3,Bed Number 3,45,26,19
2011-09-10,1,Bed Number 1,27,21,6
2011-09-10,2,Bed Number 2,76,40,36
2011-09-10,3,Bed Number 3,57,35,22
2011-09-11,1,Bed Number 1,38,20,18
2011-09-11,2,Bed Number 2,29,20,9
2011-09-11,3,Bed Number 3,80,68,12
2011-09-12,1,Bed Number 1,66,36,30
2011-09-12,2,Bed Number 2,69,24,45
2011-09-12,3,Bed Number 3,56,22,34
2011-09-13,1,Bed Number 1,49,1,48
2011-09-13,2,Bed Number 2,61,12,49
2011-09-13,3,Bed Number 3,11,5,6
2011-09-14,1,Bed Number 1,27,2,25
2011-09-14,2,Bed Number 2,80,29,51
2011-09-14,3,Bed Number 3,94,32,62
2011-09-15,1,Bed Number 1,42,42,0
2011-09-15,2,Bed Number 2,19,4,15
2011-09-15,3,Bed Number 3,45,14,31
2011-09-16,1,Bed Number 1,50,3,47
2011-09-16,2,Bed Number 2,21,15,6
2011-09-16,3,Bed Number 3,71,23,48
2011-09-17,1,Bed Number 1,30,16,14
2011-09-17,2,Bed Number 2,60,1,59
2011-09-17,3,Bed Number 3,32,14,18
2011-09-18,1,Bed Number 1,85,28,57
2011-09-18,2,Bed Number 2,45,32,13
2011-09-18,3,Bed Number 3,31,26,5
2011-09-19,1,Bed Number 1,31,23,8
2011-09-19,2,Bed Number 2,42,18,24
2011-09-19,3,Bed Number 3,39,5,34
2011-09-20,1,Bed Number 1,90,80,10
2011-09-20,2,Bed Number 2,65,5,60
2011-09-20,3,Bed Number 3,95,19,76
2011-09-21,1,Bed Number 1,87,45,42
2011-09-21,2,Bed Number 2,62,16,46
2011-09-21,3,Bed Number 3,55,22,33
2011-09-22,1,Bed Number 1,43,30,13
2011-09-22,2,Bed Number 2,97,18,79
2011-09-22,3,Bed Number 3,42,7,35
2011-09-23,1,Bed Number 1,78,50,28
2011-09-23,2,Bed Number 2,99,1,98
2011-09-23,3,Bed Number 3,60,10,50
2011-09-24,1,Bed Number 1,43,7,36
2011-09-24,2,Bed Number 2,13,1,12
2011-09-24,3,Bed Number 3,87,50,37
2011-09-25,1,Bed Number 1,25,15,10
2011-09-25,2,Bed Number 2,54,21,33
2011-09-25,3,Bed Number 3,47,5,42
2011-09-26,1,Bed Number 1,63,35,28
2011-09-26,2,Bed Number 2,75,5,70
2011-09-26,3,Bed Number 3,13,7,6
2011-09-27,1,Bed Number 1,38,12,26
2011-09-27,2,Bed Number 2,40,16,24
2011-09-27,3,Bed Number 3,82,63,19
2011-09-28,1,Bed Number 1,40,37,3
2011-09-28,2,Bed Number 2,60,25,35
2011-09-28,3,Bed Number 3,83,56,27
2011-09-29,1,Bed Number 1,33,25,8
2011-09-29,2,Bed Number 2,74,30,44
2011-09-29,3,Bed Number 3,76,60,16
2011-09-30,1,Bed Number 1,50,22,28
2011-09-30,2,Bed Number 2,99,0,99
2011-09-30,3,Bed Number 3,24,23,1
2011-10-01,1,Bed Number 1,19,16,3
2011-10-01,2,Bed Number 2,63,16,47
2011-10-01,3,Bed Number 3,98,2,96
2011-10-02,1,Bed Number 1,54,14,40
2011-10-02,2,Bed Number 2,21,15,6
2011-10-02,3,Bed Number 3,40,16,24
2011-10-03,1,Bed Number 1,33,1,32
2011-10-03,2,Bed Number 2,54,51,3
2011-10-03,3,Bed Number 3,63,48,15
2011-10-04,1,Bed Number 1,35,16,19
2011-10-04,2,Bed Number 2,87,59,28
2011-10-04,3,Bed Number 3,66,59,7
2011-10-05,1,Bed Number 1,53,47,6
2011-10-05,2,Bed Number 2,78,1,77
2011-10-05,3,Bed Number 3,29,3,26
2011-10-06,1,Bed Number 1,96,55,41
2011-10-06,2,Bed Number 2,35,33,2
2011-10-06,3,Bed Number 3,24,23,1
2011-10-07,1,Bed Number 1,67,44,23
2011-10-07,2,Bed Number 2,12,4,8
2011-10-07,3,Bed Number 3,56,28,28
2011-10-08,1,Bed Number 1,12,9,3
2011-10-08,2,Bed Number 2,100,78,22
2011-10-08,3,Bed Number 3,12,7,5
2011-10-09,1,Bed Number 1,20,10,10
2011-10-09,2,Bed Number 2,41,5,36
2011-10-09,3,Bed Number 3,77,68,9
2011-10-10,1,Bed Number 1,14,9,5
2011-10-10,2,Bed Number 2,68,55,13
2011-10-10,3,Bed Number 3,35,23,12
2011-10-11,1,Bed Number 1,26,18,8
2011-10-11,2,Bed Number 2,100,68,32
2011-10-11,3,Bed Number 3,38,28,10
2011-10-12,1,Bed Number 1,32,1,31
2011-10-12,2,Bed Number 2,14,5,9
2011-10-12,3,Bed Number 3,10,9,1
2011-10-13,1,Bed Number 1,97,23,74
2011-10-13,2,Bed Number 2,56,39,17
2011-10-13,3,Bed Number 3,15,13,2
2011-10-14,1,Bed Number 1,82,74,8
2011-10-14,2,Bed Number 2,98,32,66
2011-10-14,3,Bed Number 3,33,13,20
2011-10-15,1,Bed Number 1,86,55,31
2011-10-15,2,Bed Number 2,72,5,67
2011-10-15,3,Bed Number 3,55,23,32
2011-10-16,1,Bed Number 1,12,8,4
2011-10-16,2,Bed Number 2,96,42,54
2011-10-16,3,Bed Number 3,33,24,9
2011-10-17,1,Bed Number 1,45,23,22
2011-10-17,2,Bed Number 2,55,19,36
2011-10-17,3,Bed Number 3,54,1,53
2011-10-18,1,Bed Number 1,57,41,16
2011-10-18,2,Bed Number 2,38,11,27
2011-10-18,3,Bed Number 3,77,66,11
2011-10-19,1,Bed Number 1,56,47,9
2011-10-19,2,Bed Number 2,49,31,18
2011-10-19,3,Bed Number 3,65,5,60
2011-10-20,1,Bed Number 1,17,1,16
2011-10-20,2,Bed Number 2,44,1,43
2011-10-20,3,Bed Number 3,73,46,27
2011-10-21,1,Bed Number 1,70,4,66
2011-10-21,2,Bed Number 2,79,70,9
2011-10-21,3,Bed Number 3,95,46,49
2011-10-22,1,Bed Number 1,66,39,27
2011-10-22,2,Bed Number 2,25,21,4
2011-10-22,3,Bed Number 3,56,43,13
2011-10-23,1,Bed Number 1,46,21,25
2011-10-23,2,Bed Number 2,98,47,51
2011-10-23,3,Bed Number 3,82,35,47
2011-10-24,1,Bed Number 1,36,5,31
2011-10-24,2,Bed Number 2,96,35,61
2011-10-24,3,Bed Number 3,100,19,81
2011-10-25,1,Bed Number 1,91,30,61
2011-10-25,2,Bed Number 2,88,71,17
2011-10-25,3,Bed Number 3,98,44,54
2011-10-26,1,Bed Number 1,57,5,52
2011-10-26,2,Bed Number 2,13,4,9
2011-10-26,3,Bed Number 3,76,31,45
2011-10-27,1,Bed Number 1,30,22,8
2011-10-27,2,Bed Number 2,29,25,4
2011-10-27,3,Bed Number 3,30,26,4
2011-10-28,1,Bed Number 1,10,6,4
2011-10-28,2,Bed Number 2,96,72,24
2011-10-28,3,Bed Number 3,13,13,0
2011-10-29,1,Bed Number 1,94,7,87
2011-10-29,2,Bed Number 2,69,53,16
2011-10-29,3,Bed Number 3,49,44,5
2011-10-30,1,Bed Number 1,70,61,9
2011-10-30,2,Bed Number 2,70,51,19
2011-10-30,3,Bed Number 3,20,10,10
2011-10-31,1,Bed Number 1,70,68,2
2011-10-31,2,Bed Number 2,18,13,5
2011-10-31,3,Bed Number 3,42,39,3
2011-11-01,1,Bed Number 1,15,1,14
2011-11-01,2,Bed Number 2,60,29,31
2011-11-01,3,Bed Number 3,69,30,39
2011-11-02,1,Bed Number 1,27,13,14
2011-11-02,2,Bed Number 2,39,7,32
2011-11-02,3,Bed Number 3,83,71,12
2011-11-03,1,Bed Number 1,98,7,91
2011-11-03,2,Bed Number 2,77,47,30
2011-11-03,3,Bed Number 3,23,23,0
2011-11-04,1,Bed Number 1,67,59,8
2011-11-04,2,Bed Number 2,49,36,13
2011-11-04,3,Bed Number 3,97,64,33
2011-11-05,1,Bed Number 1,80,25,55
2011-11-05,2,Bed Number 2,55,16,39
2011-11-05,3,Bed Number 3,43,28,15
2011-11-06,1,Bed Number 1,51,46,5
2011-11-06,2,Bed Number 2,46,43,3
2011-11-06,3,Bed Number 3,25,25,0
2011-11-07,1,Bed Number 1,98,48,50
2011-11-07,2,Bed Number 2,69,15,54
2011-11-07,3,Bed Number 3,29,29,0
2011-11-08,1,Bed Number 1,51,46,5
2011-11-08,2,Bed Number 2,37,33,4
2011-11-08,3,Bed Number 3,20,17,3
2011-11-09,1,Bed Number 1,25,14,11
2011-11-09,2,Bed Number 2,48,3,45
2011-11-09,3,Bed Number 3,94,73,21
2011-11-10,1,Bed Number 1,71,65,6
2011-11-10,2,Bed Number 2,60,32,28
2011-11-10,3,Bed Number 3,84,62,22
2011-11-11,1,Bed Number 1,94,1,93
2011-11-11,2,Bed Number 2,74,5,69
2011-11-11,3,Bed Number 3,69,22,47
2011-11-12,1,Bed Number 1,100,54,46
2011-11-12,2,Bed Number 2,76,6,70
2011-11-12,3,Bed Number 3,57,8,49
2011-11-13,1,Bed Number 1,42,40,2
2011-11-13,2,Bed Number 2,20,6,14
2011-11-13,3,Bed Number 3,40,10,30
2011-11-14,1,Bed Number 1,38,9,29
2011-11-14,2,Bed Number 2,87,78,9
2011-11-14,3,Bed Number 3,72,8,64
2011-11-15,1,Bed Number 1,60,18,42
2011-11-15,2,Bed Number 2,31,24,7
2011-11-15,3,Bed Number 3,57,2,55
2011-11-16,1,Bed Number 1,80,48,32
2011-11-16,2,Bed Number 2,64,36,28
2011-11-16,3,Bed Number 3,57,24,33
2011-11-17,1,Bed Number 1,66,25,41
2011-11-17,2,Bed Number 2,37,20,17
2011-11-17,3,Bed Number 3,81,73,8
2011-11-18,1,Bed Number 1,26,7,19
2011-11-18,2,Bed Number 2,84,18,66
2011-11-18,3,Bed Number 3,66,56,10
2011-11-19,1,Bed Number 1,15,0,15
2011-11-19,2,Bed Number 2,45,21,24
2011-11-19,3,Bed Number 3,57,19,38
2011-11-20,1,Bed Number 1,100,82,18
2011-11-20,2,Bed Number 2,14,2,12
2011-11-20,3,Bed Number 3,23,12,11
2011-11-21,1,Bed Number 1,92,57,35
2011-11-21,2,Bed Number 2,90,74,16
2011-11-21,3,Bed Number 3,20,4,16
2011-11-22,1,Bed Number 1,80,43,37
2011-11-22,2,Bed Number 2,90,88,2
2011-11-22,3,Bed Number 3,50,9,41
2011-11-23,1,Bed Number 1,97,43,54
2011-11-23,2,Bed Number 2,15,13,2
2011-11-23,3,Bed Number 3,16,15,1
2011-11-24,1,Bed Number 1,15,5,10
2011-11-24,2,Bed Number 2,75,8,67
2011-11-24,3,Bed Number 3,92,19,73
2011-11-25,1,Bed Number 1,89,69,20
2011-11-25,2,Bed Number 2,61,13,48
2011-11-25,3,Bed Number 3,99,1,98
2011-11-26,1,Bed Number 1,36,3,33
2011-11-26,2,Bed Number 2,71,6,65
2011-11-26,3,Bed Number 3,25,25,0
2011-11-27,1,Bed Number 1,51,42,9
2011-11-27,2,Bed Number 2,64,45,19
2011-11-27,3,Bed Number 3,30,9,21
2011-11-28,1,Bed Number 1,67,45,22
2011-11-28,2,Bed Number 2,78,12,66
2011-11-28,3,Bed Number 3,14,1,13
2011-11-29,1,Bed Number 1,27,5,22
2011-11-29,2,Bed Number 2,97,46,51
2011-11-29,3,Bed Number 3,19,14,5
2011-11-30,1,Bed Number 1,34,24,10
2011-11-30,2,Bed Number 2,21,10,11
2011-11-30,3,Bed Number 3,92,13,79
2011-12-01,1,Bed Number 1,51,8,43
2011-12-01,2,Bed Number 2,10,2,8
2011-12-01,3,Bed Number 3,72,24,48
2011-12-02,1,Bed Number 1,39,21,18
2011-12-02,2,Bed Number 2,10,10,0
2011-12-02,3,Bed Number 3,88,76,12
2011-12-03,1,Bed Number 1,73,71,2
2011-12-03,2,Bed Number 2,12,9,3
2011-12-03,3,Bed Number 3,27,10,17
2011-12-04,1,Bed Number 1,60,18,42
2011-12-04,2,Bed Number 2,94,74,20
2011-12-04,3,Bed Number 3,93,10,83
2011-12-05,1,Bed Number 1,29,25,4
2011-12-05,2,Bed Number 2,80,31,49
2011-12-05,3,Bed Number 3,39,33,6
2011-12-06,1,Bed Number 1,32,13,19
2011-12-06,2,Bed Number 2,83,11,72
2011-12-06,3,Bed Number 3,79,31,48
2011-12-07,1,Bed Number 1,30,21,9
2011-12-07,2,Bed Number 2,47,31,16
2011-12-07,3,Bed Number 3,30,13,17
2011-12-08,1,Bed Number 1,91,60,31
2011-12-08,2,Bed Number 2,98,66,32
2011-12-08,3,Bed Number 3,40,26,14
2011-12-09,1,Bed Number 1,84,9,75
2011-12-09,2,Bed Number 2,43,18,25
2011-12-09,3,Bed Number 3,15,14,1
2011-12-10,1,Bed Number 1,43,22,21
2011-12-10,2,Bed Number 2,100,2,98
2011-12-10,3,Bed Number 3,51,12,39
2011-12-11,1,Bed Number 1,62,1,61
2011-12-11,2,Bed Number 2,69,7,62
2011-12-11,3,Bed Number 3,63,9,54
2011-12-12,1,Bed Number 1,26,24,2
2011-12-12,2,Bed Number 2,23,8,15
2011-12-12,3,Bed Number 3,63,44,19
2011-12-13,1,Bed Number 1,63,46,17
2011-12-13,2,Bed Number 2,21,21,0
2011-12-13,3,Bed Number 3,62,6,56
2011-12-14,1,Bed Number 1,100,23,77
2011-12-14,2,Bed Number 2,27,0,27
2011-12-14,3,Bed Number 3,21,18,3
2011-12-15,1,Bed Number 1,17,8,9
2011-12-15,2,Bed Number 2,84,75,9
2011-12-15,3,Bed Number 3,84,68,16
2011-12-16,1,Bed Number 1,40,22,18
2011-12-16,2,Bed Number 2,36,31,5
2011-12-16,3,Bed Number 3,57,55,2
2011-12-17,1,Bed Number 1,75,53,22
2011-12-17,2,Bed Number 2,28,14,14
2011-12-17,3,Bed Number 3,99,86,13
2011-12-18,1,Bed Number 1,62,4,58
2011-12-18,2,Bed Number 2,40,19,21
2011-12-18,3,Bed Number 3,22,6,16
2011-12-19,1,Bed Number 1,47,36,11
2011-12-19,2,Bed Number 2,52,2,50
2011-12-19,3,Bed Number 3,95,85,10
2011-12-20,1,Bed Number 1,36,28,8
2011-12-20,2,Bed Number 2,18,11,7
2011-12-20,3,Bed Number 3,75,25,50
2011-12-21,1,Bed Number 1,42,23,19
2011-12-21,2,Bed Number 2,59,6,53
2011-12-21,3,Bed Number 3,29,7,22
2011-12-22,1,Bed Number 1,22,14,8
2011-12-22,2,Bed Number 2,91,68,23
2011-12-22,3,Bed Number 3,91,26,65
2011-12-23,1,Bed Number 1,28,5,23
2011-12-23,2,Bed Number 2,85,36,49
2011-12-23,3,Bed Number 3,90,35,55
2011-12-24,1,Bed Number 1,96,96,0
2011-12-24,2,Bed Number 2,82,34,48
2011-12-24,3,Bed Number 3,70,11,59
2011-12-25,1,Bed Number 1,17,14,3
2011-12-25,2,Bed Number 2,26,18,8
2011-12-25,3,Bed Number 3,57,4,53
2011-12-26,1,Bed Number 1,92,65,27
2011-12-26,2,Bed Number 2,37,22,15
2011-12-26,3,Bed Number 3,76,31,45
2011-12-27,1,Bed Number 1,70,38,32
2011-12-27,2,Bed Number 2,89,34,55
2011-12-27,3,Bed Number 3,19,9,10
2011-12-28,1,Bed Number 1,75,71,4
2011-12-28,2,Bed Number 2,66,44,22
2011-12-28,3,Bed Number 3,15,10,5
2011-12-29,1,Bed Number 1,15,7,8
2011-12-29,2,Bed Number 2,90,17,73
2011-12-29,3,Bed Number 3,26,4,22
2011-12-30,1,Bed Number 1,58,39,19
2011-12-30,2,Bed Number 2,29,10,19
2011-12-30,3,Bed Number 3,51,27,24
2011-12-31,1,Bed Number 1,57,3,54
2011-12-31,2,Bed Number 2,92,67,25
2011-12-31,3,Bed Number 3,18,16,2
2012-01-01,1,Bed Number 1,92,17,75
2012-01-01,2,Bed Number 2,36,1,35
2012-01-01,3,Bed Number 3,80,52,28
2012-01-02,1,Bed Number 1,14,4,10
2012-01-02,2,Bed Number 2,22,14,8
2012-01-02,3,Bed Number 3,81,79,2
2012-01-03,1,Bed Number 1,17,6,11
2012-01-03,2,Bed Number 2,80,46,34
2012-01-03,3,Bed Number 3,24,8,16
2012-01-04,1,Bed Number 1,90,62,28
2012-01-04,2,Bed Number 2,69,20,49
2012-01-04,3,Bed Number 3,92,91,1
2012-01-05,1,Bed Number 1,91,77,14
2012-01-05,2,Bed Number 2,22,22,0
2012-01-05,3,Bed Number 3,73,11,62
2012-01-06,1,Bed Number 1,31,5,26
2012-01-06,2,Bed Number 2,34,16,18
2012-01-06,3,Bed Number 3,28,7,21
2012-01-07,1,Bed Number 1,14,13,1
2012-01-07,2,Bed Number 2,96,83,13
2012-01-07,3,Bed Number 3,50,14,36
2012-01-08,1,Bed Number 1,82,40,42
2012-01-08,2,Bed Number 2,39,24,15
2012-01-08,3,Bed Number 3,28,25,3
2012-01-09,1,Bed Number 1,48,3,45
2012-01-09,2,Bed Number 2,38,21,17
2012-01-09,3,Bed Number 3,45,2,43
2012-01-10,1,Bed Number 1,83,54,29
2012-01-10,2,Bed Number 2,29,11,18
2012-01-10,3,Bed Number 3,50,42,8
2012-01-11,1,Bed Number 1,11,6,5
2012-01-11,2,Bed Number 2,65,32,33
2012-01-11,3,Bed Number 3,20,3,17
2012-01-12,1,Bed Number 1,29,15,14
2012-01-12,2,Bed Number 2,75,74,1
2012-01-12,3,Bed Number 3,86,52,34
2012-01-13,1,Bed Number 1,75,34,41
2012-01-13,2,Bed Number 2,74,58,16
2012-01-13,3,Bed Number 3,12,8,4
2012-01-14,1,Bed Number 1,81,48,33
2012-01-14,2,Bed Number 2,95,41,54
2012-01-14,3,Bed Number 3,60,9,51
2012-01-15,1,Bed Number 1,87,54,33
2012-01-15,2,Bed Number 2,91,57,34
2012-01-15,3,Bed Number 3,63,8,55
2012-01-16,1,Bed Number 1,64,10,54
2012-01-16,2,Bed Number 2,23,3,20
2012-01-16,3,Bed Number 3,29,18,11
2012-01-17,1,Bed Number 1,68,23,45
2012-01-17,2,Bed Number 2,23,2,21
2012-01-17,3,Bed Number 3,50,15,35
